"id","name","price","original_price","description","image_url","category","is_featured","is_new","stock_quantity","rating","reviews"
"1","Strawberry Keychain","150","200","Sweet strawberry keychain, small and adorable. A fun everyday accessory!","https://drive.google.com/file/d/185XjgrH4fmbJhxd6hs0M71yAOF78gEhK/view?usp=drive_link","Key Chains and Charms","FALSE","FALSE","30","5","15"
"2","Sunflower Stem","300","400","Brighten up your room with a single crochet sunflower stem. Pick-me-up decor!","https://drive.google.com/file/d/12FbZvLb4JeIWfCt86fCeNd7MglOc1d-Z/view?usp=drive_link","Flowers and Bouquet","FALSE","FALSE","20","4.7","10"
"3","Mushroom Keyring","180","250","A charming magic mushroom keyring — quirky and handcrafted with love.","https://drive.google.com/file/d/1MmA0CP4kTh6qgbMrJosQW7xcjMo0Eehv/view?usp=drive_link","Key Chains and Charms","FALSE","FALSE","22","4.9","11"
"4","Pastel Hair Ties","150","200","Soft crochet scrunchies and hair ties in pastel colors — gentle on your hair.","https://drive.google.com/file/d/1VvDCpBhpPm0VsZOuX6u7_BOW3bWS7kzN/view?usp=drive_link","Hair Accessories","FALSE","TRUE","40","4.6","4"
"5","Mini Blooming Pot","450","550","Tiny detailed flower pot perfect for your desk or windowsill. Zero maintenance!","https://drive.google.com/file/d/1fA0RiF-o_ZDVz-xNSCQxqgeu1gkmE9U1/view?usp=drive_link","Flower Pots","TRUE","TRUE","15","5","7"
"6","Deluxe Gift Hamper","250","300","A curated collection of our finest crochet items — the ultimate gift set.","https://drive.google.com/file/d/15syg0WZWi0IhrQ25RMXSg7Vtu9KNBXiU/view?usp=drive_link","Flowers and Bouquet","TRUE","TRUE","3","5","2"
"7","Elegant Quran Cover","1800","2100","Intricately designed crochet cover for your Quran — a sacred and beautiful gift.","https://drive.google.com/file/d/1vimDlXA21NmjJuga1uxaC80ARYcdSUxw/view?usp=drive_link","Book covers and Sleeves","FALSE","TRUE","5","4.9","6"
"8","Rose Sling Bag","1450","1800","Fashionable sling bag with 3D rose details. A statement piece that turns heads.","https://drive.google.com/file/d/1eSthAB0XEziVFSKDAGXWLeWYT5o5qap6/view?usp=drive_link","Bags and pouches","TRUE","TRUE","6","4.8","12"
"9","Rose Pot","750","900","Classic red rose potted arrangement that never fades. Everlasting beauty.","https://drive.google.com/file/d/1FCa4QoDWPIU3eF8guBQ2Og1z6Sfv8RqX/view?usp=drive_link","Flower Pots","FALSE","FALSE","12","4.7","9"
"10","Sunflower Bouquet Keychain","150","180","Miniature sunflower bouquet as a charming keychain. Tiny artisan delight!","https://drive.google.com/file/d/1zLIS4dXYYb9STT-pu4-3QzkPt6VHh6e6/view?usp=drive_link","Key Chains and Charms","FALSE","TRUE","20","4.8","5"
"11","Sunflower Pot","350","420","Radiant sunflower in a cute crochet pot — a burst of warmth for any room.","https://drive.google.com/file/d/10piefHwbFe9CaEFsQEXF1sjYjyxIfdyX/view?usp=drive_link","Flower Pots","TRUE","FALSE","10","4.9","14"
"12","Tulip & Lavender Bouquet","1700","2040","A perfect harmony of tulips and lavender in one stunning arrangement.","https://drive.google.com/file/d/1bBk5Gxl-nA2IjE6Bw6pyGSfugRnOBC9Z/view?usp=drive_link","Flowers and Bouquet","TRUE","TRUE","8","5","3"
"13","Blue & White Bouquet","1700","2040","Elegant handcrafted bouquet in soft blue and white tones. A timeless gift piece.","https://drive.google.com/file/d/1HFIB-Vtma0wjL89C6c7baAylVijU-jx4/view?usp=drive_link","Flowers and Bouquet","FALSE","TRUE","8","4.9","5"
"14","Mixed Floral Bouquet","950","1200","A cheerful mix of handcrafted crochet flowers in vibrant colors. Perfect centerpiece.","https://drive.google.com/file/d/1aVJuPxn8zurP1TRtzC2Rsbd4YqbujGFT/view?usp=drive_link","Flowers and Bouquet","FALSE","FALSE","12","4.7","7"
"15","Large Floral Bouquet","1700","2040","An impressive large-scale handmade bouquet — a luxurious gift for any occasion.","https://drive.google.com/file/d/18b2QWav4zEQ0yqYjyX6wt_JSGdWw5hEP/view?usp=drive_link","Flowers and Bouquet","TRUE","FALSE","5","5","9"
"16","Mini Roses Bouquet","250","300","Adorable mini rose bouquet — cute, compact, and absolutely heartwarming.","https://drive.google.com/file/d/1LUpqxKbcqFy6HXfFsYZdHxKiA85kYuyu/view?usp=drive_link","Flowers and Bouquet","FALSE","TRUE","15","4.8","4"
"17","Mini Tulip Bouquet","200","240","Delicate handcrafted tulip bouquet in pastel tones. Perfect table decor or gift.","https://drive.google.com/file/d/1OzKYGdAtoquTVj8smlSUSWlDuA2pisVk/view?usp=drive_link","Flowers and Bouquet","FALSE","FALSE","10","4.6","3"
"18","Multi Colour Bouquet","1300","1560","A rainbow of crochet flowers bundled together — vibrant, joyful, and unique.","https://drive.google.com/file/d/11IL7aNDCdS10v0uyYoxSvo2WTpINCTGx/view?usp=drive_link","Flowers and Bouquet","FALSE","TRUE","8","4.7","6"
"19","Rose Bouquet","200","240","Classic handmade crochet rose bouquet — an eternal symbol of love and care.","https://drive.google.com/file/d/1-0m6PZyA7VeYgFJ8Fa6j1Yz4HHdttus2/view?usp=drive_link","Flowers and Bouquet","FALSE","FALSE","14","4.9","11"
"20","Sunflower Bouquet","600","720","Bright and cheerful handmade sunflower bouquet. Brings sunshine to any space.","https://drive.google.com/file/d/1H4o9cvdQXC1iAj0JeKQiyw5UujHHR34h/view?usp=drive_link","Flowers and Bouquet","FALSE","FALSE","10","4.8","8"
"21","Daisy Keychain","120","144","Fresh and dainty daisy flower keychain — a cheerful pop of handmade sunshine.","https://drive.google.com/file/d/1vgUGCvRTVa7uS8CZUpVqIaInLH1HCcou/view?usp=drive_link","Key Chains and Charms","FALSE","TRUE","25","4.7","4"
